,country,year,I_VE0,D_VE0,Ires_VE0,Ires2_VE0,I_VE1,D_VE1,Ires_VE1,Ires2_VE1,I_VE2,D_VE2,Ires_VE2,Ires2_VE2,I_VE3,D_VE3,Ires_VE3,Ires2_VE3
0,Angola,2021,350.6855950401074,1.0117263898349211,2.364409953159164,2.364409953159164,252.49362842887734,0.7284430006811431,1.7023751662745983,1.7023751662745983,154.30166181764724,0.4451596115273652,1.040340379390032,1.040340379390032,252.49362842887734,0.7284430006811431,1.7023751662745983,1.7023751662745983
1,Angola,2022,711.4662376026815,2.0525769470994994,4.796883240476679,10.171809157139528,512.2556910739306,1.4778554019116394,3.453755933143209,7.323702593140459,362.1411278507949,1.0447755513006687,2.4416460192520217,5.559733532495984,512.2556910739306,1.4778554019116394,3.453755933143209,7.323702593140459
2,Angola,2023,1081.436890045723,3.119940642201545,7.291317871910775,23.572626634428655,778.6099001345581,2.246286116379465,5.249582599182224,16.971368330299686,624.4841667933836,1.8016340577282044,4.21042837356269,15.159340911994352,778.6099001345581,2.246286116379465,5.249582599182224,16.971368330299686
3,Angola,2024,1460.8963980669412,4.2146796436564955,9.849728739866833,42.70843226698382,1051.7707352602756,3.0343539169243576,7.091301239808592,30.746520955195134,942.759823979183,2.719857920274079,6.356322423223646,31.478154941008977,1051.7707352602756,3.0343539169243576,7.091301239808592,30.746520955195134
4,Angola,2025,1881.2621085921135,5.4274328583170055,12.683939451655176,69.85518562841882,1461.319090048737,4.215899108153478,9.852578634881096,57.57123085328164,1349.6587074061083,3.893759398349622,9.099736420008833,58.32866359807367,1354.3514522606135,3.9072979464885105,9.131376079004122,50.2866010103632
5,Angola,2026,2313.729177231677,6.675098437586539,15.599740545190272,103.57872472498111,1882.6226352785043,5.431357971786633,12.693112462706495,90.97611843413267,1767.736441902241,5.099911812291117,11.918521025415384,91.75075945529316,1665.6161278442528,4.805295158137186,11.230000337957913,74.55834362412642
6,Angola,2027,2754.889962152715,7.947845349856646,18.57415684732414,144.03532775283807,2312.98335557088,6.672946745395554,15.594712029097764,131.10467890553412,2195.6209632175364,6.33435676280885,14.803425439253434,131.9000972075002,1983.1081603048838,5.72125826681865,13.3706109938156,103.67311782243088
7,Angola,2028,3206.653035920772,9.251179818533096,21.620056431436822,191.37105070392786,2753.8664421725052,7.944892499243027,18.567256019737574,178.1107218110999,2633.9835891252933,7.599030998708069,17.758975853780008,178.93457455712024,2308.2008232788867,6.65914916089684,15.562467000752072,137.73506269072982
8,Angola,2029,3669.129179422186,10.58542144598275,24.73818620995923,245.74806632676163,3205.3899497286297,9.247535820458182,21.611540388557852,232.15744255468005,3082.918097072257,8.89420506750765,20.785804539985424,233.01552062417196,2640.9732218660365,7.619196058234553,17.806101705126284,176.85990371121815
9,Angola,2030,4142.548100821793,11.951232939244647,27.93009493276573,307.3390764167129,3668.2061088387272,10.582758391434247,24.731962637317906,293.4467466928647,3542.6402092912613,10.220501326894704,23.885365951094006,294.31399858524395,2981.5899263100778,8.601873743256732,20.102624680664118,221.17092053143156
10,Benin,2021,205.1591237510244,0.5252073568026225,0.4009151209967911,0.4009151209967911,147.71456910073758,0.37814929689788823,0.2886588871176896,0.2886588871176896,90.27001445045073,0.23109123699315387,0.1764026532385881,0.1764026532385881,147.71456910073758,0.37814929689788823,0.2886588871176896,0.2886588871176896
11,Benin,2022,413.73745938689876,1.059167896030461,0.8085119518852264,3.951179050376822,297.8909707585671,0.7626008851419319,0.5821286053573631,2.8448489162713115,210.76675945537892,0.53956290420577,0.4118733757690505,2.2352014222809666,297.8909707585671,0.7626008851419319,0.5821286053573631,2.8448489162713115
12,Benin,2023,626.1172801292846,1.6028602371309688,1.2235375182526362,10.705580807143452,450.78170939749225,1.1540011760575803,0.8809025904475942,7.707276403184833,362.09166030500916,0.9269546503808235,0.7075874528460345,7.0878256218718905,450.78170939749225,1.1540011760575803,0.8809025904475942,7.707276403184833
13,Benin,2024,842.3503165327097,2.156416810323737,1.646092910224327,20.721235296001847,606.4236821428757,1.5524446262857619,1.1850529455208625,14.91635625974292,544.8103547582471,1.3947145081811123,1.0646502349234015,15.663174795511502,606.4236821428757,1.5524446262857619,1.1850529455208625,14.91635625974292
14,Benin,2025,1064.0369327232193,2.723934547771442,2.0793055060299452,34.156714128822514,823.8595303666704,2.1090803977386763,1.6099588322581921,28.250481807392013,761.0687597268904,1.9483360249008397,1.4872552012996227,29.008009175302792,765.968222188227,1.960878648801861,1.4968295675261512,24.585506373659953
15,Benin,2026,1290.1932761298428,3.302894786892398,2.521252693770386,50.99631608836632,1045.4537425630765,2.676361580961476,2.042990855258666,44.980476164278,981.3859546551087,2.512348043917078,1.9177917197218468,45.75207170272127,928.7068951084781,2.377489651477704,1.8148480575244734,36.70270074435955
16,Benin,2027,1519.4329956921858,3.8897484689719963,2.9692253124151287,71.30471754412837,1270.3389219400833,3.2520676401666138,2.482453976624565,65.1764081428072,1205.308478504989,3.085589704972772,2.355373651745152,65.96177613640246,1093.6409413045428,2.7997208097396302,2.1371566727992817,51.3137397818417
17,Benin,2028,1752.4790410675946,4.486346345133043,3.4246361260862375,95.12928381903316,1499.0500634088094,3.8375681623265523,2.9293936655780306,88.88935779876962,1433.0499130478966,3.668607777402616,2.8004183717477478,89.69152432550449,1261.2904090159177,3.2289034470807496,2.4647716742852577,68.45195683760697
