,country,I_VE0,I_VE0_min,I_VE0_max,Ires_VE0,Ires_VE0_min,Ires_VE0_max,D_VE0,D_VE0_min,D_VE0_max,Ires2_VE0,Ires2_VE0_min,Ires2_VE0_max,I_VE1,I_VE1_min,I_VE1_max,Ires_VE1,Ires_VE1_min,Ires_VE1_max,D_VE1,D_VE1_min,D_VE1_max,Ires2_VE1,Ires2_VE1_min,Ires2_VE1_max,I_VE2,I_VE2_min,I_VE2_max,Ires_VE2,Ires_VE2_min,Ires_VE2_max,D_VE2,D_VE2_min,D_VE2_max,Ires2_VE2,Ires2_VE2_min,Ires2_VE2_max,I_VE3,I_VE3_min,I_VE3_max,Ires_VE3,Ires_VE3_min,Ires_VE3_max,D_VE3,D_VE3_min,D_VE3_max,Ires2_VE3,Ires2_VE3_min,Ires2_VE3_max,I_avd_VE1,I_avd_VE1_min,I_avd_VE1_max,Ires_avd_VE1,Ires_avd_VE1_min,Ires_avd_VE1_max,D_avd_VE1,D_avd_VE1_min,D_avd_VE1_max,Ires2_avd_VE1,Ires2_avd_VE1_min,Ires2_avd_VE1_max,I_avd_VE2,I_avd_VE2_min,I_avd_VE2_max,Ires_avd_VE2,Ires_avd_VE2_min,Ires_avd_VE2_max,D_avd_VE2,D_avd_VE2_min,D_avd_VE2_max,Ires2_avd_VE2,Ires2_avd_VE2_min,Ires2_avd_VE2_max,I_avd_VE3,I_avd_VE3_min,I_avd_VE3_max,Ires_avd_VE3,Ires_avd_VE3_min,Ires_avd_VE3_max,D_avd_VE3,D_avd_VE3_min,D_avd_VE3_max,Ires2_avd_VE3,Ires2_avd_VE3_min,Ires2_avd_VE3_max,Pop1
0,Angola,1456.5248858044697,1142.184025890211,1852.7701657475882,1.6345122268497756,1.1143317544095501,2.443433407477409,4.202067850124105,2.969311145929657,5.953078344017562,71.493328652828,48.96540728377893,108.80252315692988,1297.2389555300497,1021.3878337508991,1653.989756881028,1.455761555895822,0.9952649783695701,2.179099424766775,3.742528646155362,2.640850098133269,5.314441849016583,67.99680636890353,46.61982533637196,103.76552709614458,1244.0749975343451,978.7185335963252,1593.050497152356,1.3961009622330416,0.9546312502588544,2.0897005668063895,3.5891508625991886,2.5410790246927055,5.119643189980622,68.37215914757292,46.90375879384969,104.32705289832356,1195.083137531435,937.1434603893339,1520.3008631077191,1.3411222969377763,0.914292622562029,2.0049401473916406,3.4478095632898365,2.4359851224409534,4.885476030860213,58.68992607439753,40.19338625446269,89.31899417859235,159.28593027442002,120.79619213931196,198.78040886656007,0.17875067095395386,0.11906677603997998,0.2643339827106343,0.45953920396874287,0.328461047796388,0.6386364950009789,3.4965222839244676,2.345581947406971,5.036996060785325,212.44988827012463,163.46549229388583,259.719668595232,0.23841126461673376,0.15970050415069573,0.3537328406710197,0.6129169875249166,0.42823212123695137,0.8334351540369396,3.4965222839244676,2.0616484899292375,4.475470258606329,261.4417482730346,205.04056550087702,332.469302639869,0.2933899299119992,0.20003913184752123,0.43849326008576855,0.7542582868342687,0.5333260234887034,1.067602313157349,3.4965222839244676,8.772021029316248,19.48352897833753,14791780.999999998
1,Benin,2528.333399624635,2086.7283387189286,3162.845565219258,4.601566787316837,3.033113334470456,7.442093887576325,6.472533503039066,4.852860677580372,8.956867618851339,118.96224847427538,82.74669319876956,180.96239522606945,2051.6600374823274,1687.0681178310988,2554.785970694762,3.7340212682178353,2.4720150949810584,5.908351132587947,5.252249695954759,3.941710305774734,7.215879499669524,108.62457843703514,75.36625201037225,165.04484967382382,1893.0957806276058,1545.7607350935325,2359.4420307686223,3.4454343207422427,2.3236669358403277,5.361230634853852,4.846325198406672,3.66339650575422,6.6053079061472495,109.60918974876463,76.13516324925634,166.76350920058815,1762.9810109800876,1454.866807319005,2205.60356310053,3.2086254399837593,2.1156936435051263,5.19107763052035,4.513231388109024,3.382689906742757,6.24873477699134,83.07743383568713,57.80790216307355,126.3888479959153,476.6733621423079,399.6602208878301,608.0595945244959,0.8675455190990002,0.5610982394893981,1.5337427549883773,1.2202838070843072,0.9111503718056376,1.7409881191818146,10.337670037240246,7.380441188397307,15.917545552245597,635.2376189970291,540.9676036253964,803.4035344506356,1.1561324665745933,0.7094463986301288,2.080863252722472,1.626208304632394,1.1894641718261516,2.3515597127040877,10.337670037240246,6.611529949513221,14.19888602548131,765.3523886445477,631.8615313999237,957.2420021187279,1.3929413473330763,0.9174196909653297,2.251016257055975,1.9593021149300411,1.470170770837615,2.7081328418599964,10.337670037240246,24.938791035696017,54.57354723015413,4710313.0
2,Botswana,3.6350878737630534,2.997427667211808,5.008780203566976,0.0008907800114438062,0.0005622673623469187,0.0014295034961926253,0.009305824956832288,0.006813712499117698,0.013769519459068206,0.1300609141585352,0.08275463119527922,0.21332625349326287,2.854087414261081,2.331494013339374,3.9673500656891596,0.0006993954775858682,0.000439380390770893,0.0011242890014025184,0.007306463780507519,0.005328911834640768,0.010867835345305344,0.11824644290557776,0.07502351601779035,0.19429468685307863,2.6011878517220235,2.1257321870293846,3.6089987241327233,0.0006374223195671417,0.00039980342994337664,0.0010330165019630589,0.006659040900407427,0.004841231146515795,0.009877743134925654,0.11969980095566762,0.07601031685844398,0.1971175526737424,2.253763302789074,1.858411977116881,3.105458349031372,0.0005522857686991213,0.0003486068255950561,0.0008862963225947441,0.005769634055139184,0.00422451463755968,0.008537147764930267,0.08063832096517945,0.05130814757680528,0.1322633428059627,0.7810004595019734,0.6659336538724339,1.041430137877817,0.00019138453385793804,0.00012288697157602566,0.000305214494790107,0.0019993611763247693,0.0014848006644769315,0.0029016841137628636,0.011814471252957474,0.0077311151774888814,0.019031566640184253,1.03390002204103,0.8716954801824232,1.399781479434253,0.0002533576918766646,0.00016246393240354205,0.00039648699422956655,0.0026467840564248614,0.0019724813526019037,0.003891776324142553,0.011814471252957474,0.006744314336835248,0.016208700819520503,1.3813245709739799,1.1390156900949266,1.9033218545356043,0.0003384942427446849,0.00021366053675186264,0.0005432071735978813,0.0035361909016931046,0.0025891978615580186,0.00523237169413794,0.011814471252957474,0.03144648361847394,0.0810629106873002,387454.9391760929
3,Burkina Faso,2411.397688583356,1916.6958282616692,3201.9875790741326,10.7049479013992,7.427717843913917,17.27259397271182,8.47481855512724,6.08863861840676,12.463713654080095,328.4821215078163,222.51343103623068,533.843142669044,1866.3064646591436,1479.1540837526784,2475.0546909672903,8.285117617392144,5.7134326050727235,13.482319006676367,6.559104178929169,4.776911227142275,9.660023756439827,294.7415487737018,198.79410848580548,483.58501162790645,1684.2444778669335,1339.2621712244074,2250.7691594572016,7.476887563650651,5.0979687665851365,12.131262371408798,5.9192502422869735,4.296783857567434,8.730170286493736,298.2077075683915,200.80088648196738,488.63184591295266,1538.5229434277505,1222.6168787434653,2043.648366666023,6.829984134295606,4.736921580558612,11.021287497378548,5.407114243403972,3.881484975155624,7.961235420649257,210.13181587424066,142.2887874330273,341.5235333555085,545.091223924212,437.5417445089905,726.9328881068423,2.419830284007054,1.7142852388411929,3.7902749660354553,1.9157143761980693,1.3117273912644858,2.8036898976402673,33.74057273411451,23.7193225504252,50.258131041137496,727.1532107164221,577.4336570372616,951.2184196169304,3.2280603377485475,2.32974907732878,5.1413316013030235,2.5555683128402653,1.7918547608393258,3.7335433675863587,33.74057273411451,21.712544554263292,45.21129675609122,872.8747451556052,694.0789495182038,1158.339212408109,3.874963767103593,2.6907962633553053,6.251306475333273,3.0677043117232676,2.2071536432511363,4.502478233430837,33.74057273411451,80.22464360320338,192.3196093135354,8572133.0
4,Burundi,1737.977957018537,1385.1576634876844,2313.6253206034266,14.53992358841708,9.5596064786741,23.12179031937889,4.449223569967455,3.1499212684415534,6.324584619128361,223.21347790519812,147.06275417066715,358.5309659469869,1330.0351617140423,1060.1548998020578,1790.7743628199976,11.12707416289968,7.305373304386318,17.579870339818992,3.404890013987949,2.404856078661447,4.8793170929552305,197.95432159514507,128.85174160521177,319.5058893776406,1195.130597003991,961.9959270833979,1610.676472488798,9.998462574535388,6.6381966749297305,15.8438591392711,3.059534328330217,2.156744235901493,4.446617374839363,199.7235030699947,130.68983421168866,322.98663073690375,1086.3951257628833,865.6589974675821,1446.7899886537773,9.088781622132279,5.97456302852067,14.456515722988048,2.781171521952981,1.968213347441382,3.9558388170772867,139.7240146450269,92.02614233707531,224.47665772954556,407.9427953044947,325.00276368562663,522.8509577834291,3.4128494255174013,2.254233174287782,5.541919979559893,1.0443335559795064,0.7450651897801068,1.4452675261731303,25.259156310053072,18.211012565455388,39.02507656934641,542.8473600145462,423.1617364042864,702.9488481146286,4.541461013881694,2.9214098037443708,7.277931180107788,1.3896892416372388,0.9931770325400603,1.877967244288998,25.259156310053072,16.372919958978468,35.54433521008318,651.582831255654,519.4986660201022,866.8353319496492,5.451141966284801,3.585043450153432,8.665274596390837,1.6680520480144743,1.1817079210001713,2.368745802051074,25.259156310053072,55.03661183359184,134.0543082174414,4984439.0
5,Cameroon,1501.8006287957426,1220.8289997628162,1956.5934938634139,6.214951602166362,4.0606285764085746,9.68112884715175,3.8446096097171014,2.758842927260003,5.54229686356739,159.1656720621527,105.11356626240816,250.51688479734412,1252.3931026034684,1015.8297637487655,1627.2012926585435,5.182820122940672,3.4253499217127024,8.094553664443596,3.20612634266488,2.2850845026665327,4.595151476022093,147.15867450762374,97.91298152751325,233.32111842965494,1170.0331481650765,952.5748852098291,1523.856938803197,4.84198717815646,3.191194263926632,7.520173221364174,2.995284859302596,2.14092878902549,4.294459806087071,148.27115403425958,98.47932005872131,234.61028464569057,1088.3661116278067,884.6798232792406,1418.3250191369161,4.504021758619725,2.9429311334769546,7.017473684611033,2.786217245767185,1.9989093830440046,4.017777333199903,115.4376549810854,76.23860182270089,181.75643330673597,249.40752619227416,204.9992360140506,329.3922012048701,1.0321314792256906,0.6352786546958724,1.5865751827081558,0.6384832670522218,0.47375842459347006,0.9471453875452976,12.006997554528985,7.200584734894907,17.195766367689167,331.767480630666,268.25411455298706,432.7365550602167,1.3729644240099024,0.8694343124819434,2.1609556257875773,0.8493247504145054,0.6179141382345128,1.2478370574803195,12.006997554528985,6.634246203686838,15.906600151653588,413.43451716793595,336.1491764835755,538.2684747264977,1.710929843546637,1.117697442931621,2.6636551625407194,1.0583923639499162,0.7599335442159985,1.524519530367488,12.006997554528985,28.87496443970727,68.76045149060816,9907146.0
6,Central African Republic,2035.198926094123,1591.880077694446,2969.897483952773,0.0,0.0,0.0,5.4180242392596485,3.62703251432762,8.53973252387375,179.02820691285135,114.99234264026663,306.53438585869253,1819.2722199678321,1432.1912131547087,2653.3944445909297,0.0,0.0,0.0,4.843192898354335,3.2701830459427463,7.622549808491236,170.4891565745053,109.54030684071368,292.5184595212223,1747.732217398138,1383.478703309973,2538.850435819751,0.0,0.0,0.0,4.652741997938826,3.154093270881642,7.314249209095201,171.6280959095224,110.28932228851222,293.98478541051077,1694.4846221472055,1325.2807576536834,2473.3903896697752,0.0,0.0,0.0,4.510988404197741,3.019200777291677,7.112361087710263,149.14869941916785,95.79427447995185,255.46319643846772,215.92670612629104,159.68886453973735,316.503039361844,0.0,0.0,0.0,0.574831340905314,0.3568494683848737,0.9171827153825156,8.539050338346001,5.452035799552962,14.015926337470214,287.4667086959851,208.40137438447303,431.0470481330224,0.0,0.0,0.0,0.7652822413208226,0.4729392434459781,1.2254833147785502,8.539050338346001,4.703020351754405,12.549600448181822,340.7143039469176,266.5993200407626,496.5070942829981,0.0,0.0,0.0,0.9070358350619071,0.6078317370359435,1.427371436163489,8.539050338346001,19.19806816031479,51.07118942022485,1801934.0
7,Chad,1310.5691832923746,968.8782520017863,1827.264488339028,0.0,0.0,0.0,4.115849496421439,2.953732192154326,6.432795361439729,92.12502396064063,52.86203381565283,156.91158191155347,1120.7160843278125,837.374578050094,1562.350966208545,0.0,0.0,0.0,3.519614828516067,2.5243055093252695,5.4848793170972945,86.16639183661758,50.34298519352548,147.11754886873032,1057.8874898456418,780.460337924826,1476.931905798702,0.0,0.0,0.0,3.3223012931018756,2.379976869759824,5.167997360445933,86.95344881178579,50.62333936141235,148.31677675964406,1007.3336146648784,744.6411462781175,1404.8093473631886,0.0,0.0,0.0,3.1635365789933196,2.269900331592294,4.946043724143454,70.85862753077856,40.65337140768979,120.72203685275083,189.85309896456224,131.50367395169243,264.9135221304828,0.0,0.0,0.0,0.5962346679053717,0.42942668282905705,0.9479160443424344,5.958632124023063,2.5190486221273463,9.794033042823166,252.6816934467329,188.41791407696044,350.33258254032603,0.0,0.0,0.0,0.7935482033195635,0.5737553223945027,1.2647980009937951,5.958632124023063,2.2386944542404774,8.594805151909418,303.2355686274964,224.23710572366892,422.45514097583936,0.0,0.0,0.0,0.9523129174281195,0.6838318605620322,1.4867516372962741,5.958632124023063,12.208662407963033,36.189545058802636,7205453.809460912
8,Comoros,26.305365445478426,22.5876280803456,30.447512427190365,0.10343747972533608,0.07279244533160928,0.14534868130236148,0.06734173554042247,0.049245400321852,0.0868792502543636,1.987548989941946,1.3948222402373949,2.819337485553921,20.947605315811245,17.98972282040755,24.276568094680705,0.08236979275727943,0.058098811099625565,0.11530408337047414,0.05362586960847493,0.03901212368356341,0.06926047512211299,1.7983293403634935,1.2614848213262269,2.5459814971942545,19.20003583827493,16.404208239366415,22.33595115535637,0.07549803183170219,0.05333935849784908,0.10620760368516279,0.04915209174598264,0.035513903956344225,0.06392083778426774,1.8131929324681486,1.2725196187801677,2.5691303233058917,17.361943060591244,14.908149951827955,20.095882323485135,0.0682703168311628,0.04804409673637047,0.09593263035803491,0.04444657423511214,0.03250256921466636,0.057341885395384956,1.3118360215258558,0.920620337444467,1.8608458949679998,5.357760129667182,4.5979052599380505,6.170944332509657,0.02106768696805665,0.014693634231983714,0.03004459793188732,0.013715865931947525,0.010233276638288586,0.01761877513225062,0.18921964957845266,0.133337418911168,0.27335598835966657,7.105329607203497,6.1834198409791865,8.111561271833992,0.027939447893633874,0.019453086833760198,0.039141077617198684,0.018189643794439825,0.013731496365507781,0.022958412470095873,0.18921964957845266,0.1223026214572272,0.25020716224802947,8.943422384887182,7.679478128517643,10.351630103705233,0.035167162894173265,0.024748348595238806,0.04941605094432655,0.022895161305310323,0.01674283110718563,0.02953736485897865,0.18921964957845266,0.47420190279292773,0.9584915905859217,287365.0
9,Congo,1186.3586302673216,919.8001533540523,1611.2330099590126,1.5719251851042013,1.03206783716739,2.521165814695474,3.0370780934843444,2.145686342624083,4.478050454072026,80.06177520218183,53.48209443835722,129.20638498406748,962.8010884119474,751.6714040369103,1299.874560532571,1.2757114421458298,0.8427176906125264,2.042251330263489,2.464770786334585,1.7563211014260376,3.622070855325212,73.26085903862266,48.57818710056691,117.98267596555884,888.7837984954066,697.3043337735775,1192.2605604103446,1.1776385330064134,0.7870203488104255,1.8941523114927166,2.2752865241482403,1.6360221440700953,3.326336828833046,74.01361530288145,49.07654093449973,119.40360178867853,821.694576818586,636.9756520083214,1116.2340299825987,1.0887453142846264,0.7147675140941416,1.7466852593201827,2.1035381166555807,1.4858860997340642,3.1026366272486543,55.493046587874865,37.06887662124296,89.57956437447686,223.5575418553746,168.12874931714188,311.3584494264416,0.2962137429583714,0.1893501465548633,0.47891448443198475,0.5723073071497591,0.3893652411980449,0.855979598746814,6.80091616355917,4.903907337790309,11.223709018508627,297.5748317719153,222.4958195804748,418.972449548668,0.39428665209778785,0.24504748835696427,0.6270135032027574,0.7617915693361034,0.509664198553987,1.1517136252389797,6.80091616355917,4.405553503857491,9.802783195388955,364.66405344873584,282.8245013457309,494.99897997641386,0.48317987081957503,0.3173003230732481,0.7744805553752913,0.9335399768287637,0.659800242890018,1.3754138268233718,6.80091616355917,16.413217817114262,39.62682060959062,1989888.0
