country,year,I_VE0,I_VE0_min,I_VE0_max,Ires_VE0,Ires_VE0_min,Ires_VE0_max,D_VE0,D_VE0_min,D_VE0_max,Ires2_VE0,Ires2_VE0_min,Ires2_VE0_max,I_VE1,I_VE1_min,I_VE1_max,Ires_VE1,Ires_VE1_min,Ires_VE1_max,D_VE1,D_VE1_min,D_VE1_max,Ires2_VE1,Ires2_VE1_min,Ires2_VE1_max,I_VE2,I_VE2_min,I_VE2_max,Ires_VE2,Ires_VE2_min,Ires_VE2_max,D_VE2,D_VE2_min,D_VE2_max,Ires2_VE2,Ires2_VE2_min,Ires2_VE2_max,I_VE3,I_VE3_min,I_VE3_max,Ires_VE3,Ires_VE3_min,Ires_VE3_max,D_VE3,D_VE3_min,D_VE3_max,Ires2_VE3,Ires2_VE3_min,Ires2_VE3_max
Angola,2021,350.68559504010733,225.94692699214772,518.5942417640773,2.3644099531591642,1.375591965869651,4.248529640542646,1.0117263898349211,0.6009958488431016,1.5793496557039852,2.3644099531591642,1.375591965869651,4.248529640542646,252.4936284288773,162.68178743434635,373.3878540701357,1.7023751662745985,0.9904262154261488,3.0589413411907054,0.7284430006811431,0.4327170111670332,1.1371317521068693,1.7023751662745985,0.9904262154261488,3.0589413411907054,154.30166181764724,99.416647876545,228.18146637619404,1.040340379390032,0.6052604649826464,1.8693530418387643,0.4451596115273652,0.2644381734909647,0.6949138485097535,1.040340379390032,0.6052604649826464,1.8693530418387643,252.4936284288773,162.68178743434635,373.3878540701357,1.7023751662745985,0.9904262154261488,3.0589413411907054,0.7284430006811431,0.4327170111670332,1.1371317521068693,1.7023751662745985,0.9904262154261488,3.0589413411907054
Angola,2022,711.4662376026814,515.0852494661897,1048.5394671224146,4.796883240476679,3.046776830675968,8.482496706169389,2.0525769470994994,1.2898413348972917,3.0816721033119947,10.171809157139528,6.02130643897442,18.302161077639376,512.2556910739306,370.8613796156566,754.9484163281385,3.453755933143209,2.193679318086697,6.107397628441959,1.4778554019116394,0.9286857611260502,2.218803914384636,7.323702593140459,4.3353406360615825,13.177555975900349,362.14112785079493,261.94693763360743,536.1331118409003,2.4416460192520217,1.5619124724915254,4.337220961018763,1.044775551300669,0.6602124319931564,1.575702685714035,5.559733532495984,3.201318650874776,10.034173264956392,512.2556910739306,370.8613796156566,754.9484163281385,3.453755933143209,2.193679318086697,6.107397628441959,1.4778554019116394,0.9286857611260502,2.218803914384636,7.323702593140459,4.3353406360615825,13.177555975900349
Angola,2023,1081.436890045723,803.8444284250211,1530.790028365461,7.291317871910776,4.953697228527069,11.960323069460351,3.1199406422015445,2.0766994588603778,4.345158651573407,23.572626634428648,14.961594723748611,39.38906493824747,778.6099001345581,578.7525938122003,1102.1201592650566,5.249582599182224,3.5665650777621103,8.61112596428011,2.2462861163794647,1.4951929234412624,3.1284028254237084,16.971368330299686,10.771580390617657,28.358923512695682,624.4841667933837,463.37916343042,883.7602619851654,4.21042837356269,2.8017596694310654,6.852660111993229,1.8016340577282044,1.1897353108287254,2.54472679231702,15.159340911994352,9.603359561234543,25.87952111672522,778.6099001345581,578.7525938122003,1102.1201592650566,5.249582599182224,3.5665650777621103,8.61112596428011,2.2462861163794647,1.4951929234412624,3.1284028254237084,16.971368330299686,10.771580390617657,28.358923512695682
Angola,2024,1460.8963980669412,1089.618953047758,1929.7626463295142,9.849728739866832,6.549013076043394,15.611434575850597,4.214679643656496,2.920387851550328,5.828190634951869,42.70843226698382,27.218896419768544,65.85636426216965,1051.7707352602756,784.4811754380644,1389.309664370648,7.091301239808593,4.7150221290511976,11.239266638398712,3.0343539169243576,2.1025717225698752,4.195884565282679,30.746520955195127,19.595301092493283,47.40889364752211,942.759823979183,700.0024653648319,1228.7380111939146,6.356322423223647,4.2072738236739955,9.841771071317407,2.719857920274079,1.8995957591205748,3.809070021438646,31.478154941008977,19.55508309990931,48.857000671042265,1051.7707352602756,784.4811754380644,1389.309664370648,7.091301239808593,4.7150221290511976,11.239266638398712,3.0343539169243576,2.1025717225698752,4.195884565282679,30.746520955195127,19.595301092493283,47.40889364752211
Angola,2025,1881.2621085921132,1451.9410821664922,2517.5611100220326,12.683939451655176,8.73364738931896,20.36661899045987,5.4274328583170055,3.841647153627996,7.399147179867015,69.85518562841882,45.467967287592955,109.4946003801942,1461.3190900487368,1134.2083957143482,1962.8934630532542,9.852578634881096,6.800639498566953,15.879456956069712,4.215899108153478,2.9887334062255357,5.82051390336062,57.57123085328164,36.896319726596445,91.11638752550517,1349.6587074061085,1052.8944953014445,1785.8683470428216,9.099736420008833,6.285607032831116,14.447355437193414,3.893759398349622,2.747160114913068,5.373101918091253,58.328663598073675,36.90713836556572,91.47565670963262,1354.3514522606135,1045.2921814098504,1812.375739536309,9.131376079004124,6.287559502134917,14.661795500314946,3.9072979464885114,2.765752495555348,5.326597550568344,50.286601010363206,32.73137319044323,78.81718959992853
Angola,2026,2313.729177231677,1913.1250735610158,2960.9316055505305,15.599740545190272,10.767145523010296,23.9534069806673,6.675098437586539,4.69215370104615,9.279187429667012,103.57872472498111,68.80989047315556,160.31515525001032,1882.6226352785047,1560.7464803463254,2391.487130997761,12.693112462706495,8.705648155913272,19.346703054684987,5.431357971786633,3.8165144210401905,7.655115236743762,90.97611843413269,59.91325699647306,144.0112786175416,1767.7364419022408,1460.23515980319,2248.6917713421803,11.918521025415385,8.10389774807767,18.059216290016607,5.099911812291118,3.567963672061446,7.232063310622704,91.75075945529316,60.26019669701455,145.46497166146992,1665.6161278442526,1377.2406284556382,2131.4643192321846,11.230000337957911,7.7512802608842275,17.243165025369304,4.805295158137187,3.377961501695282,6.679617359755205,74.55834362412642,49.53258614909096,115.40029984434423
Angola,2027,2754.889962152715,2325.7835823412306,3592.2713109361935,18.57415684732414,12.439523158168832,29.06083225108167,7.947845349856646,5.656025199897467,11.026940773364522,144.0353277528381,91.11028202496013,220.07582640333717,2312.98335557088,1932.4379818196128,3008.556536942249,15.594712029097764,10.326748248295619,24.338684155565122,6.672946745395555,4.758605691616724,9.264173373676954,131.10467890553414,82.1838909176562,201.47303935315236,2195.6209632175364,1834.3320740150925,2822.4544435506705,14.803425439253434,9.712121849375391,22.83315151353917,6.3343567628088495,4.504745753553161,8.773675916987592,131.9000972075002,82.5958361878569,202.95397710604678,1983.108160304884,1674.267799101737,2585.768074047783,13.370610993815598,8.954920974016815,20.918401127258253,5.721258266818651,4.071722569999605,7.9371317158186745,103.67311782243088,65.5820982087907,158.4001002721325
Angola,2028,3206.6530359207723,2681.9103047188,4186.97018493181,21.620056431436826,14.99073831502333,33.87183975056526,9.251179818533094,6.567627693886935,12.744827043512945,191.37105070392784,128.83742212241643,294.59991588180907,2753.866442172505,2293.738772796009,3589.09574523213,18.567256019737574,12.825805978083503,29.035142492641896,7.944892499243027,5.617049257856077,10.938452570104065,178.1107218110999,118.83811574094597,274.7654644207697,2633.983589125293,2171.801107537011,3398.950733587856,17.758975853780008,12.197754012948577,27.49690336522639,7.599030998708068,5.318440767529669,10.45706097384193,178.93457455712024,119.2108899059721,275.16459330866167,2308.200823278887,1930.613582616387,3013.6709040809965,15.562467000752072,10.790925193918364,24.3800584707615,6.65914916089684,4.727805851327722,9.17312111734966,137.73506269072982,92.7290540737137,212.01126457625924
Angola,2029,3669.129179422186,3039.9045440452114,4708.00166767496,24.73818620995923,16.913901624319266,38.086891233852285,10.58542144598275,7.7671814313038245,14.30433269028098,245.74806632676163,160.75966979246482,377.4148201258617,3205.3899497286297,2609.9710107073947,4095.6631574546814,21.61154038855785,14.696878041208496,33.13318223302763,9.247535820458182,6.768322514952462,12.572170849505635,232.15744255468002,150.51073700661533,357.858168615733,3082.9180970722573,2495.939218378883,3901.2960684848767,20.785804539985424,14.055044054609926,31.56078725537477,8.89420506750765,6.393987686892727,12.05626705430085,233.01552062417198,150.90317604928163,359.4484291176115,2640.9732218660365,2188.1066833536047,3388.5286553804162,17.806101705126284,12.17488583147206,27.41259061702946,7.619196058234552,5.591104480975117,10.295024375478418,176.85990371121815,115.69881595466218,271.6036155085363
Angola,2030,4142.548100821793,3409.1656348602073,5300.721795564628,27.930094932765734,19.097696723547585,42.8818910313348,11.95123293924465,8.762315692794845,15.79665306377302,307.3390764167129,206.4842572892093,458.7647230758645,3668.206108838727,2969.3855605797157,4674.330795793768,24.731962637317906,16.829840235936373,37.81449990402481,10.582758391434247,7.699555014941989,13.989807827425063,293.4467466928647,196.8941561323091,437.98351810220817,3542.640209291261,2852.4841412772716,4475.13655139743,23.885365951094013,16.17196809210096,36.20305410254543,10.220501326894702,7.316008320363047,13.585617263962742,294.31399858524395,197.34527655927297,438.40698737088877,2981.5899263100773,2453.7906666609215,3814.912814153021,20.10262468066412,13.7462472637093,30.861962181723428,8.601873743256732,6.307100764836857,11.368491375378852,221.1709205314316,148.60317197902913,330.10365786991275
