country,GDPpercap,U5_mortality,trr,tfr,pcr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_tfr,tfr_lower,tfr_upper
Angola,2137.909393390838,71.47,0.181,0.03725,0.0062,0.36941474733269736,0.4091916841519351,-0.46273695567553885,0.9137648034587369,0.26126153243863526,0.20362844088730495,0.32477496584253485,0.021289369948440662,0.015669703970785005,0.027133921024206527
Burundi,236.7954141650953,54.35,0.47,0.0646,0.0178,-2.049663396076503,-0.2339414279410681,1.1842952425219553,2.48428098203986,0.3224821162071211,0.21258013070374535,0.43531925922157644,0.02911807502273708,0.017705522818232948,0.040672258705622466
Benin,1428.4471767132468,85.94,0.175,0.0111666666666666,0.0104,-0.07390278135244284,0.9527744021417573,-0.4969313957765249,-0.5840157081070539,0.313020345126315,0.24711170878719302,0.37181913273427414,0.02114924655508687,0.015267756256787154,0.02720682576537288
Burkina Faso,918.15258192146,84.99,0.511,0.0878235294117647,0.0086875,-0.5598096867712086,0.9170865250104282,1.4179572498786934,3.8178432732622,0.325732290980107,0.2703843438533719,0.3810960532228862,0.02027331522441397,0.015270842801501414,0.025575336036973886
Botswana,7347.552382319509,44.84,,,,1.7266512834608911,-0.5911958611188987,,,0.12572304642331267,0.01091546547971356,0.23194812523788783,0.012700127533931162,-0.00012686406230917602,0.025419823934421677
Central African Republic,511.4847455922382,103.0,0.341,0.0145,0.0,-1.203001751743824,1.593653543047519,0.44911478035075575,-0.39260605806669396,0.3811524917162966,0.2680505678102749,0.5054855928045445,0.014975005127200663,0.002986259251930117,0.02746906470970411
Côte d'Ivoire,2578.7604120483165,77.91,0.175,0.007170731707317,0.0,0.5755283441298883,0.6511179249158918,-0.4969313957765249,-0.8134738617529936,0.2712678423990234,0.1913320314461115,0.3523153190584359,0.021748582482816414,0.013737861093642507,0.029662763474310842
Cameroon,1661.7021052703203,72.21,0.382,0.0447,0.0108333333333333,0.09238450007783133,0.43699066212791754,0.6827767877074936,1.3415653712989328,0.2732985294521129,0.2234111099902663,0.32656361283347674,0.021445313397681014,0.016933487331124417,0.02613628722829058
Democratic Republic of the Congo,584.106409215842,81.18,0.292,0.01225,0.00246875,-1.0570411183439874,0.7739593546205722,0.16986018619270285,-0.5218075718439344,0.3333756933142904,0.2687205461881583,0.40437280850940427,0.020120370300649577,0.01371374491344278,0.026764057128553134
Congo,2213.880862881724,44.63,0.25,0.0142,0.0053,0.40780380793608795,-0.5990847602742452,-0.06950089451419933,-0.409832926570326,0.18852999374152174,0.1340252891626844,0.24908845539035931,0.01967983533128252,0.013431965368291698,0.025187859426370817
