country,GDPpercap,U5_mortality,trr,tfr,pcr,G,U,R,F,pred_trr,trr_lower,trr_upper,pred_pcr,pcr_lower,pcr_upper
Angola,2137.909393390838,71.47,0.181,0.03725,0.0062,0.36941474733269736,0.4091916841519351,-0.46273695567553885,-0.1461030868500557,0.26143702547322994,0.19690560906115162,0.32221294037459164,0.0064562071848034,0.003966983696844914,0.009155231957195965
Burundi,236.7954141650953,54.35,0.47,0.0646,0.0178,-2.049663396076503,-0.2339414279410681,1.1842952425219553,1.252552355745265,0.3235525229633668,0.21623798231155028,0.44164418296340624,0.014880353669764706,0.009888752320477891,0.02011825047525611
Benin,1428.4471767132468,85.94,0.175,0.0111666666666666,0.0104,-0.07390278135244284,0.9527744021417573,-0.4969313957765249,0.36030664236549137,0.3136569483699641,0.24733727518149518,0.376561900850491,0.0055725882460765045,0.0029199646508102093,0.008221852137289043
Burkina Faso,918.15258192146,84.99,0.511,0.0878235294117647,0.0086875,-0.5598096867712086,0.9170865250104282,1.4179572498786934,0.15382410396510474,0.3263900357052626,0.26919687694150257,0.3828664773210466,0.005499814348826736,0.0030879757507561332,0.007709409239635059
Botswana,7347.552382319509,44.84,,,,1.7266512834608911,-0.5911958611188987,,,0.12411465062382127,0.008897523448370581,0.23422496834828072,0.0019743879882762132,-0.003599954787503296,0.007638282897649167
Central African Republic,511.4847455922382,103.0,0.341,0.0145,0.0,-1.203001751743824,1.593653543047519,0.44911478035075575,-0.8936603061682443,0.38194563337611925,0.2509335630936367,0.49189629286069136,0.0012042405793542391,-0.003984938545469151,0.006890511570141375
Côte d'Ivoire,2578.7604120483165,77.91,0.175,0.007170731707317,0.0,0.5755283441298883,0.6511179249158918,-0.4969313957765249,-0.8936603061682443,0.2715928022983074,0.18592636558293352,0.35109916770056426,0.006055679085784377,0.002275719938032949,0.009440501844042375
Cameroon,1661.7021052703203,72.21,0.382,0.0447,0.0108333333333333,0.09238450007783133,0.43699066212791754,0.6827767877074936,0.4125552652210598,0.2735770979079705,0.21703793662367107,0.32511834476465107,0.006729848437867697,0.004543494276358102,0.008772477340591067
Democratic Republic of the Congo,584.106409215842,81.18,0.292,0.01225,0.00246875,-1.0570411183439874,0.7739593546205722,0.16986018619270285,-0.5959938730727962,0.33405131110472697,0.2624599025508079,0.4003673670316933,0.00612930616946888,0.0031833226640839507,0.008969654927107414
Congo,2213.880862881724,44.63,0.25,0.0142,0.0053,0.40780380793608795,-0.5990847602742452,-0.06950089451419933,-0.25461945739624436,0.18788138300306373,0.1274257493578575,0.24665230248870948,0.007562593927258252,0.004895309317980739,0.010161471689218746
Comoros,1494.6876933989874,61.34,0.267,0.0041818181818181,0.0147272727272727,-0.024068293326895657,0.028646215372605636,0.02738335243859454,0.8820621209512033,0.2507091969313906,0.20385335084065317,0.2961907936685336,0.007860790389250668,0.006185299042634483,0.009539463334731272
Cabo Verde,3445.7565362099986,14.19,,,,0.8941689464844895,-1.7425994759349357,,,0.07576263602048744,-0.05745464602430794,0.22262524360070846,0.005114805472322641,-0.0022381621897170356,0.011987738840868421
Algeria,3765.034624947021,22.68,,,,0.9915896007962894,-1.4236625529402163,,,0.09469854251969513,-0.025506213943100098,0.2217248078699617,0.004562498932179318,-0.001599498549282619,0.01099911931212301
Eritrea,642.5082588,39.27,0.015,0.03055,0.0138,-0.9522733411815056,-0.800439519667849,-1.4087831318028192,0.7702573755399819,0.24316448527255202,0.15221829598945108,0.3351347387685608,0.014408860338425346,0.01070056384048893,0.018675277512147734
Ethiopia,943.965684225205,48.71,0.077,0.0164782608695652,0.0284166666666666,-0.5293278206556257,-0.4458147195418005,-1.0554405840926302,2.5326436157067787,0.2429564088784627,0.18253124701622186,0.30348048069417694,0.010938894438598768,0.008703046061166456,0.013455875127109398
Gabon,8016.990495469054,41.73,0.259,0.028,0.0,1.8225133137979872,-0.708026700990934,-0.018209234362720227,-0.8936603061682443,0.10913683990265585,-0.02061964101988606,0.22720346272048786,0.001201452808680324,-0.0050777149641381275,0.007522014791875762
Ghana,2445.290749327607,44.71,0.501,0.0220263157894736,0.00115625,0.5171016251709821,-0.5960794653579228,1.3609665163770501,-0.7542469134526547,0.18275875258852337,0.12069228246337524,0.24483990287006735,0.0070951730670564,0.00437121925022569,0.009981886509621014
Guinea,1174.35297194486,95.56,0.248,0.0217333333333333,0.0014285714285714,-0.28924050268371937,1.3141611158295314,-0.08089904121452803,-0.7214120989520753,0.3431439277496952,0.2719182009806473,0.4154204935532232,0.004299374222654047,0.0011384824512559143,0.007182179567996794
Gambia,835.5944213893881,49.37,0.067,0.0168461538461538,0.0232307692307692,-0.6633942344082275,-0.42102103648214045,-1.1124313175942735,1.9073605404085878,0.2507282714927206,0.1849809216311759,0.31191411979382067,0.011338138042367727,0.008838664240065151,0.013938978051314308
Guinea-Bissau,812.9623730036054,76.84,0.28,0.025,,-0.6935817952633554,0.6109221054100794,0.10147130599073102,,0.31260397647676874,0.26098486105868807,0.36498447703565284,0.006826130240101836,0.004881193861202683,0.008912527943784186
Equatorial Guinea,8462.286329620772,78.49,0.332,0.026375,0.0,1.8819421200940225,0.6729063130592295,0.3978231201992767,-0.8936603061682443,0.22888825100655893,0.06235116175400493,0.3892485277461578,0.005520437311621725,-0.0018412952092409004,0.012938370621620331
Kenya,2006.832240085901,41.87,0.271,0.0331666666666666,0.0063333333333333,0.2998554521160581,-0.7027674348873697,0.05017964583925192,-0.13002658750988358,0.1858708150633124,0.12177962606101275,0.2432511657621101,0.008174258549876644,0.005519040247335676,0.010839678794903943
Liberia,673.089067079932,78.28,0.655,0.0306,0.0124,-0.9011540287095715,0.6650174139038834,2.2386238123023587,0.6014541324681328,0.32283248367788997,0.2612179881137543,0.3806727073647267,0.00667153797162271,0.004290758001429378,0.009074467702446604
Lesotho,1166.4616665620524,89.52,,,,-0.29665299505155324,1.0872613496471868,,,0.32898591808400185,0.2646193496380536,0.39130908883210075,0.005031702829808468,0.0023661215102098974,0.00753250503179455
Madagascar,514.9058617524541,50.24,0.1009999999999999,0.0076923076923076,0.0,-1.1956728728033459,-0.3883384542671337,-0.9186628236886866,-0.8936603061682443,0.27734881823216273,0.19600643189024197,0.359639784556652,0.013119148606398102,0.009452572563897381,0.016515466828060654
Mali,917.9130632505572,90.99,0.187,0.0085666666666666,0.0014666666666666,-0.560096521649628,1.1424836437346115,-0.42854251557455275,-0.7168188134263153,0.33995918544351156,0.27346420281618555,0.4036166310735102,0.004580899077389539,0.0018614171410256527,0.007250300698724015
